STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
Rajasthan,CHURU,RAHUL KASWAN,1.0,BJP,Lotus,MALE,0,42.0,GENERAL,Graduate,367238653.0,151633791.0,786573.0,6426.0,792999.0,39.27479714,59.59387437,2019104.0,1.0,215604862.0,R422,1.0
Rajasthan,CHURU,RAFIQUE MANDELIA,0.0,INC,Hand,MALE,3,58.0,GENERAL,10th Pass,58228154458.0,46472199946.0,457117.0,1480.0,458597.0,22.71289641,34.46356427,2019104.0,1.0,11755954512.0,R125,0.3333333333333333
Rajasthan,CHURU,BALWAN POONIA,0.0,CPI(M),"Hammer, Sickle and Star",MALE,12,41.0,GENERAL,Graduate Professional,366878936.0,141562214.0,24892.0,198.0,25090.0,1.242630394,1.885513485,2019104.0,1.0,225316722.0,B451,1.0
Rajasthan,CHURU,HARI SINGH,0.0,BSP,Elephant,MALE,0,57.0,GENERAL,12th Pass,181030001.0,7950007.0,16059.0,57.0,16116.0,0.798175825,1.21111739,2019104.0,1.0,173079994.0,H625,0.25
Tamil Nadu,COIMBATORE,NATARAJAN. P.R,1.0,CPI(M),"Hammer, Sickle and Star",MALE,1,68.0,GENERAL,12th Pass,323416832.0,323416832.0,567741.0,3409.0,571150.0,29.15661002,45.65806692,1958904.0,1.0,0.0,N362,0.5
Tamil Nadu,COIMBATORE,RADHAKRISHNAN. C.P,0.0,BJP,Lotus,MALE,0,61.0,GENERAL,Graduate,67114016667.0,236860002.0,390823.0,1184.0,392007.0,20.01154727,31.33727014,1958904.0,1.0,66877156665.0,R326,0.3333333333333333
Tamil Nadu,COIMBATORE,MAHENDRAN. R,0.0,MNM,Battery Torch,MALE,0,55.0,GENERAL,Post Graduate,1333052340133.0,11575611111.0,144808.0,296.0,145104.0,7.407407407,11.5996991,1958904.0,1.0,1321476729022.0,M536,0.1111111111111111
Tamil Nadu,COIMBATORE,KALYANA SUNDARAM. S,0.0,NTK,Ganna Kisan,MALE,0,36.0,GENERAL,Post Graduate,8550838.0,0.0,60391.0,128.0,60519.0,3.089431641,4.837924455,1958904.0,1.0,8550838.0,K452,0.5
Tamil Nadu,COIMBATORE,APPATHURAI. N.R.,0.0,IND,Gift Pack,MALE,3,68.0,GENERAL,12th Pass,30081590030.0,355500035.0,37989.0,72.0,38061.0,1.942974235,3.042618726,1958904.0,1.0,29726089995.0,A136,0.2
Tamil Nadu,COIMBATORE,NOTA,0.0,NOTA,Lotus,MALE,0,43.4,GENERAL,Post Graduate,440429409.0,9647749.0,23081.0,109.0,23190.0,1.183825241,1.853822239,1958904.0,1.0,430781660.0,N300,0.004081632653061225
